Region,Lobe,Hemisphere,Region_Type,Degree,Degree_Cent,Strength,Betweenness,Closeness,Eigenvector,Complex_Close_T2,Complex_Close_T3,Complex_Btwn_T2,Degree_Cent_n,Strength_n,Betweenness_n,Closeness_n,Eigenvector_n,Complex_Close_T2_n,Complex_Close_T3_n,Composite_Hub
R_frontalpole,Frontal,R,Cortical,22,0.2716049382716049,135.20662580553574,0.0,4.327387573338341,0.07765254982366016,0.5436241610738255,0.49693251533742333,1.0,0.34782608695652173,0.26676635906368,0.0,0.37302821101842265,0.3245280925122127,0.5807950438822921,0.5921639709983267,0.3550153949187794
R_temporalpole,Temporal,R,Cortical,23,0.2839506172839506,138.34014248392026,0.000925925925925926,3.8847626886342175,0.06710180300309189,0.574468085106383,0.41968911917098445,0.9876543209876543,0.3695652173913043,0.2757536850702404,0.009554140127388536,0.19905206222676075,0.2673440067958564,0.7046735770140027,0.25812529439472437,0.2977239975743253
R_transversetemporal,Temporal,R,Cortical,6,0.07407407407407407,42.195997867061756,0.0,3.680823907807208,0.024656954546753346,0.44021739130434784,0.39705882352941174,1.0,0.0,0.0,0.0,0.11889280118280207,0.03729679842067829,0.16548216276477146,0.16026069518716568,0.06884749393648822
R_insula,Insular,R,Cortical,52,0.6419753086419753,361.2099320238177,0.05246913580246913,5.271935945204261,0.17301861370943103,0.627906976744186,0.4764705882352941,0.9629629629629629,1.0,0.9149727035696713,0.5414012738853503,0.7442881508984731,0.841403462987808,0.919300337904989,0.5036764705882351,0.7807203428335038
Laccumb,Subcortical,L,Subcortical,17,0.20987654320987653,99.26656641482596,0.0,3.8035136563417353,0.05575526130458731,0.5436241610738255,0.4879518072289157,1.0,0.2391304347826087,0.16368567892318883,0.0,0.1671166825864038,0.2058467854042289,0.5807950438822921,0.5533269441401971,0.27284308138841706
Lamyg,Subcortical,L,Subcortical,23,0.2839506172839506,129.08501954528535,0.0,3.9785979050786593,0.06629742913462461,0.5094339622641509,0.39705882352941174,1.0,0.3695652173913043,0.24920881053547667,0.0,0.23593451086935946,0.2629843737741674,0.4434768585711981,0.16026069518716568,0.2459186380469531
Lcaud,Subcortical,L,Subcortical,33,0.4074074074074074,217.1674693762807,0.0021604938271604936,4.605188948976262,0.11972377683967408,0.525974025974026,0.5031055900621118,0.9876543209876543,0.5869565217391305,0.5018405254225895,0.022292993630573247,0.4822195717680977,0.5525503067488394,0.5099067599067598,0.6188594014680968,0.46780372581201235
Lhippo,Subcortical,L,Subcortical,25,0.30864197530864196,162.38300715174745,0.000925925925925926,4.192055746566805,0.08711516357207282,0.47093023255813954,0.4263157894736842,0.9753086419753086,0.41304347826086957,0.34471169138689234,0.009554140127388536,0.319835291134601,0.37581459619696855,0.2888342277877161,0.28678229665071764,0.2912251030778791
Lpal,Subcortical,L,Subcortical,21,0.25925925925925924,117.89822386137922,0.0,4.278519531347583,0.07377708846822054,0.49693251533742333,0.47928994082840237,1.0,0.32608695652173914,0.2171236518785649,0.0,0.3538203579619356,0.30352344534279563,0.3932672644329086,0.5158687466379773,0.3013843461108459
Lput,Subcortical,L,Subcortical,46,0.5679012345679012,319.8525223581065,0.012654320987654321,5.263587450907248,0.166340897702293,0.50625,0.46285714285714286,1.0,0.8695652173913043,0.7963543710053009,0.13057324840764334,0.7410067292337731,0.8052108511248025,0.4306891025641024,0.4448051948051947,0.6026006735045888
Lthal,Subcortical,L,Subcortical,47,0.5802469135802468,331.99398411765236,0.026234567901234566,5.493652552220366,0.17526440320073874,0.5785714285714286,0.5031055900621118,1.0,0.8913043478260868,0.831177633884974,0.27070063694267515,0.8314350844415367,0.8535754372523668,0.7211538461538463,0.6188594014680968,0.7168866268527976
Raccumb,Subcortical,R,Subcortical,17,0.20987654320987653,100.58437362060467,0.0,3.9212879174665636,0.05690469940123461,0.5294117647058824,0.5,1.0,0.2391304347826087,0.16746531828296193,0.0,0.21340850459044186,0.21207663507858443,0.5237137590078766,0.6054292929292928,0.2801748492388238
Ramyg,Subcortical,R,Subcortical,18,0.2222222222222222,100.15613275790746,0.0,3.608891074957126,0.0515680191581469,0.4602272727272727,0.41116751269035534,1.0,0.2608695652173913,0.16623706879926214,0.0,0.09061920504439913,0.18315231477676563,0.24584790209790197,0.2212736502076604,0.1668571008776258
Rcaud,Subcortical,R,Subcortical,32,0.3950617283950617,217.7933812518476,0.002777777777777778,4.661251359864283,0.11770225897177394,0.525974025974026,0.4879518072289157,0.9753086419753086,0.5652173913043478,0.5036357206152308,0.02866242038216561,0.504255211144301,0.5415938642333397,0.5099067599067598,0.5533269441401971,0.4580854731037632
Rhippo,Subcortical,R,Subcortical,27,0.3333333333333333,177.03202253437985,0.0015432098765432098,4.204093941492259,0.08773361434199328,0.4879518072289157,0.4550561797752809,0.9753086419753086,0.45652173913043476,0.3867269382904797,0.01592356687898089,0.32456696995318757,0.3791665429776017,0.3571980228606735,0.41106996935648615,0.3330248213496921
Rpal,Subcortical,R,Subcortical,26,0.32098765432098764,151.99747935580862,0.0,4.467368789864507,0.08860949005723558,0.49390243902439024,0.46285714285714286,1.0,0.43478260869565216,0.3149246713604291,0.0,0.4280485991528884,0.3839137094890423,0.38109756097560965,0.4448051948051947,0.3410817634969738
Rput,Subcortical,R,Subcortical,41,0.5061728395061729,300.02526129449353,0.011111111111111112,5.323827781613719,0.1587603276661705,0.5192307692307693,0.48214285714285715,1.0,0.7608695652173914,0.7394872541888882,0.11464968152866244,0.764684523005476,0.7641248527498435,0.48282380013149256,0.5282061688311688,0.5935494065218461
Rthal,Subcortical,R,Subcortical,44,0.5432098765432098,310.7821507935028,0.020987654320987655,5.4288633845323275,0.16499629699722226,0.6230769230769231,0.5159235668789809,1.0,0.8260869565217391,0.7703393870053578,0.21656050955414013,0.8059693452404593,0.7979232379083482,0.8999013806706114,0.6742906774753907,0.7130102134822923
